ID,Artigo,Ano,Score Total,Fonte,Q1,Q2,Q3,Q4,Q5,Q6,Q7
A24,Empowering business transformation: The positive impact and ethical considerations of generative AI in software product management - A systematic literature review,2023,5.0,Scopus,Partially attended to,Fully attended to,Not attended to,Partially attended to,Fully attended to,Fully attended to,Fully attended to
A25,Enhancing Software Requirements Engineering with Language Models and Prompting Techniques: Insights from the Current Research and Future Directions,2025,4.0,Scopus,Fully attended to,Partially attended to,Not attended to,Fully attended to,Fully attended to,Not attended to,Partially attended to
A26,Exploring the role of generative AI in enhancing cybersecurity in software development life cycle,2025,0.0,Scopus,,,,,,,
A27,Generating and Reviewing Programming Codes with Large Language Models: A Systematic Mapping Study,2024,6.0,Scopus,Fully attended to,Fully attended to,Fully attended to,Partially attended to,Fully attended to,Fully attended to,Partially attended to
A28,Generative AI for Requirements Engineering: A Systematic Literature Review,2025,0.0,Scopus,,,,,,,
A29,"Generative Artificial Intelligence and Large Language Models: A Systematic Review of Architectures, Applications, and Future Directions",2025,0.0,Scopus,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to
A30,Generative Artificial Intelligence in Agile Software Development Processes: A Literature Review Focused on User eXperience,2025,5.5,Scopus,Fully attended to,Fully attended to,Partially attended to,Partially attended to,Fully attended to,Fully attended to,Partially attended to
A31,How Well Small Language Models Can Be Adapted for Software Maintenance and Refactoring Tasks,2026,0.0,Scopus,,,,,,,
A32,How reliance on GenAI might limit human creativity and critical thinking in Requirements Engineering,2025,0.0,Scopus,,,,,,,
A33,Impact of Artificial Intelligence on Open-Source Software Development,2025,3.0,Scopus,Fully attended to,Not attended to,Not attended to,Partially attended to,Partially attended to,Partially attended to,Partially attended to
A34,Impacts of the Usage of Generative Artificial Intelligence on Software Development Process,2024,5.5,Scopus,Fully attended to,Fully attended to,Not attended to,Partially attended to,Fully attended to,Fully attended to,Fully attended to
A35,Insight into code clone management through refactoring: a systematic literature review,2025,0.0,Scopus,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to
A36,LLM-Based Code Generation: A Systematic Literature Review With Technical and Demographic Insights,2025,6.0,Scopus,Fully attended to,Fully attended to,Not attended to,Fully attended to,Fully attended to,Fully attended to,Fully attended to
A37,"LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision, and the Road Ahead",2025,4.0,Scopus,Partially attended to,Fully attended to,Not attended to,Fully attended to,Fully attended to,Not attended to,Partially attended to
A38,Landscape and Taxonomy of Prompt Engineering Patterns in Software Engineering,2025,3.0,Scopus,Partially attended to,Partially attended to,Not attended to,Partially attended to,Fully attended to,Not attended to,Partially attended to
A39,Large Language Model for Vulnerability Detection and Repair: Literature Review and the Road Ahead,2025,6.5,Scopus,Fully attended to,Fully attended to,Fully attended to,Partially attended to,Fully attended to,Fully attended to,Fully attended to
A40,Large Language Models for Early-Stage Software Project Estimation: A Systematic Mapping Study,2025,7.0,Scopus,Fully attended to,Fully attended to,Fully attended to,Fully attended to,Fully attended to,Fully attended to,Fully attended to
A41,Large Language Models for Software Engineering: A Systematic Literature Review,2024,7.0,Scopus,Fully attended to,Fully attended to,Fully attended to,Fully attended to,Fully attended to,Fully attended to,Fully attended to
A42,Large Language Models for Service-Oriented Computing (LLM4SOC): Review and Research Directions,2026,0.0,Scopus,,,,,,,
A43,Large Language Models for Software Engineering: A Systematic Mapping Study,2024,0.0,Scopus,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to
A44,Learning-Based Automated Program Repair: A Systematic Literature Review,2025,5.0,Scopus,Partially attended to,Fully attended to,Partially attended to,Partially attended to,Fully attended to,Partially attended to,Fully attended to
A45,Leveraging AI-driven requirements for SysML modeling of the IoBT: A comprehensive investigation,2025,4.5,Scopus,Partially attended to,Fully attended to,Partially attended to,Partially attended to,Fully attended to,Partially attended to,Partially attended to
A46,Machine Learning Techniques for Automatic Program Repair: A Systematic Literature Mapping,2025,0.0,Scopus,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to
A47,Machine learning approaches for automated software traceability: A systematic literature review,2025,0.0,Scopus,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to
A48,Machine learning for requirements engineering (ML4RE): A systematic literature review complemented by practitioners’ voices from Stack Overflow,2024,7.0,Scopus,Fully attended to,Fully attended to,Fully attended to,Fully attended to,Fully attended to,Fully attended to,Fully attended to
A49,Prompt Engineering Guidelines for Using Large Language Models in Requirements Engineering,2026,6.0,Scopus,Fully attended to,Fully attended to,Fully attended to,Fully attended to,Partially attended to,Partially attended to,Fully attended to
A50,Prompt Engineering for Requirements Engineering: A Literature Review and Roadmap,2025,6.5,Scopus,Fully attended to,Fully attended to,Partially attended to,Fully attended to,Fully attended to,Fully attended to,Fully attended to
A51,Prompting Techniques for Secure Code Generation: A Systematic Investigation,2025,6.0,Scopus,Fully attended to,Fully attended to,Partially attended to,Fully attended to,Partially attended to,Fully attended to,Fully attended to
A52,Prompts Engineering Challenges in Software Code Generation,2025,4.5,Scopus,Fully attended to,Fully attended to,Not attended to,Partially attended to,Fully attended to,Partially attended to,Partially attended to
A53,Psycholinguistic analyses in software engineering text: A systematic mapping study,2026,0.0,Scopus,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to
A54,Quality Assurance for LLM-Generated Test Cases: A Systematic Literature Review,2024,5.5,Scopus,Fully attended to,Fully attended to,Not attended to,Partially attended to,Fully attended to,Fully attended to,Fully attended to
A55,Research directions for using LLM in software requirement engineering: a systematic review,2025,5.0,Scopus,Fully attended to,Fully attended to,Not attended to,Partially attended to,Fully attended to,Fully attended to,Partially attended to
A56,Reusable and generic design decisions for developing UML-based domain-specific languages,2017,0.0,Scopus,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to
A57,Software Engineering and Foundation Models: Insights from Industry Blogs Using a Jury of Foundation Models,2025,3.0,Scopus,Not attended to,Not attended to,Not attended to,Not attended to,Fully attended to,Fully attended to,Fully attended to
A58,State of the Art of the Security of Code Generated by LLMs: A Systematic Literature Review,2024,6.0,Scopus,Partially attended to,Fully attended to,Partially attended to,Fully attended to,Fully attended to,Fully attended to,Fully attended to
A59,Systematic Literature Review of Prompt Engineering Patterns in Software Engineering,2024,5.5,Scopus,Fully attended to,Fully attended to,Partially attended to,Partially attended to,Fully attended to,Fully attended to,Partially attended to
A60,Talking to Data: A Systematic Review of the Rise of Conversational Agents for Visual Analytics,2025,7.0,Scopus,Fully attended to,Fully attended to,Fully attended to,Fully attended to,Fully attended to,Fully attended to,Fully attended to
A61,The Role of Generative AI Models in Requirements Engineering: A Systematic Literature Review,2025,4.5,Scopus,Fully attended to,Fully attended to,Not attended to,Partially attended to,Fully attended to,Partially attended to,Partially attended to
A62,The use of large language models for program repair,2025,5.0,Scopus,Partially attended to,Fully attended to,Partially attended to,Fully attended to,Fully attended to,Partially attended to,Partially attended to
A63,Time-Series Large Language Models: A Systematic Review of State-of-the-Art,2025,0.0,Scopus,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to
A64,Towards Using Personas in Requirements Engineering: What Has Been Changed Recently?,2025,6.0,Scopus,Fully attended to,Fully attended to,Partially attended to,Fully attended to,Fully attended to,Partially attended to,Fully attended to
A65,Unlocking the Potential of the Prompt Engineering Paradigm in Software Engineering: A Systematic Literature Review,2025,5.5,Scopus,Partially attended to,Fully attended to,Not attended to,Fully attended to,Fully attended to,Fully attended to,Fully attended to
A66,Using LLMs to enhance code quality: A systematic literature review,2026,6.0,Scopus,Fully attended to,Fully attended to,Fully attended to,Partially attended to,Fully attended to,Partially attended to,Fully attended to
A67,Using Reinforcement Learning for Security Testing: A Systematic Mapping Study,2025,5.0,Scopus,Partially attended to,Partially attended to,Partially attended to,Fully attended to,Fully attended to,Partially attended to,Fully attended to
A68,"Why Adapt RAG for Agile? Challenges, Frameworks, and the Role of Evaluator Agent",2026,4.5,Scopus,Not attended to,Fully attended to,Not attended to,Partially attended to,Fully attended to,Fully attended to,Fully attended to
